id	name	alt_accession	tax_id	pathways	aliases	topology
103	Uniprot:F8W1R9		taxid:9606	Receptor tyrosine kinase		
104	Uniprot:P37173		taxid:9606	Receptor tyrosine kinase|TGF		Endocytosis related|Receptor|Scaffold
105	Uniprot:C9JYS6		taxid:9606	Receptor tyrosine kinase		
106	Uniprot:P14174		taxid:9606			
107	Uniprot:E7EQJ3		taxid:9606			
108	Uniprot:B8ZZ73		taxid:9606	Receptor tyrosine kinase		
109	Uniprot:Q9NPH3		taxid:9606	JAK/STAT		Co-factor
110	Uniprot:Q8N5C8		taxid:9606	Innate immune pathways		
111	Uniprot:Q9NYJ8		taxid:9606	Innate immune pathways|JAK/STAT|Receptor tyrosine kinase|Toll-like receptor		Co-factor|Scaffold
112	Uniprot:D6R9R8		taxid:9606	JAK/STAT		
113	Uniprot:Q13158		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|TNF pathway|Toll-like receptor		Scaffold
114	Uniprot:Q15628		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|TNF pathway		Endocytosis related|Scaffold
115	Uniprot:Q13546		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|TNF pathway|Toll-like receptor		Co-factor|Scaffold
116	Uniprot:P01375		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|TNF pathway|Toll-like receptor		
117	Uniprot:B1AMX8		taxid:9606	Receptor tyrosine kinase		
118	Uniprot:Q13077		taxid:9606	Receptor tyrosine kinase		Scaffold
119	Uniprot:P23458		taxid:9606	JAK/STAT|Receptor tyrosine kinase		Mediator
120	Uniprot:E7ET40		taxid:9606			
121	Uniprot:M0R1I2		taxid:9606			
122	Uniprot:K7EKF0		taxid:9606			
123	Uniprot:H0YL71		taxid:9606			
124	Uniprot:Q09472		taxid:9606	JAK/STAT|Notch		Transcription factor
125	Uniprot:F8VW24		taxid:9606	Toll-like receptor		
126	Uniprot:H0Y4G9		taxid:9606	Toll-like receptor		
127	Uniprot:A6PVK0		taxid:9606			
128	Uniprot:H0YM57		taxid:9606			
129	Uniprot:Q9H0F6		taxid:9606			
130	Uniprot:H0YIS3		taxid:9606			
131	Uniprot:P42702		taxid:9606	JAK/STAT		Receptor
132	Uniprot:P15018		taxid:9606	JAK/STAT		Ligand
133	Uniprot:A0A2R8Y4U4		taxid:9606	JAK/STAT		
134	Uniprot:F8WF11		taxid:9606	JAK/STAT		
135	Uniprot:P01579		taxid:9606	JAK/STAT		Ligand
136	Uniprot:A0A1B0GTR9		taxid:9606	Innate immune pathways		
137	Uniprot:E9PPF2		taxid:9606	JAK/STAT		
138	Uniprot:P15036		taxid:9606			
139	Uniprot:P14780		taxid:9606			
140	Uniprot:P11717		taxid:9606	Receptor tyrosine kinase		Receptor
141	Uniprot:P01344		taxid:9606	Receptor tyrosine kinase		Ligand
142	Uniprot:Q99835		taxid:9606	Hedgehog		Mediator
143	Uniprot:P43116		taxid:9606			
144	Uniprot:B4DNV3		taxid:9606	Toll-like receptor		
145	Uniprot:P48061		taxid:9606	Innate immune pathways		
146	Uniprot:P61073		taxid:9606	Innate immune pathways|T-cell receptor		Endocytosis related
147	Uniprot:P13498		taxid:9606			
148	Uniprot:Q9NPH5		taxid:9606	T-cell receptor		
149	Uniprot:E5RGR3		taxid:9606			
150	Uniprot:A0A087X033		taxid:9606	Receptor tyrosine kinase		
151	Uniprot:P57087		taxid:9606			
152	Uniprot:P84077		taxid:9606			
153	Uniprot:Q9NUP9		taxid:9606			
